Variant	A				B				C				D			
35	0.212178	1.09998	3.40731	10.7072	0.366858	2.20356	11.716	40.432	0.429135	1.89447	5.44538	18.3948	0.326403	1.84206	7.42035	51.1961
36	0.14683	0.734718	2.41487	7.78562	0.210465	0.899438	6.35285	36.1757	0.316092	1.56207	4.60344	15.028	0.540763	3.43232	13.139	69.8355
37	0.185679	0.803779	2.82817	10.4316	0.338068	2.02998	10.406	18.9391	0.374367	1.57084	4.43928	13.9081	0.654395	2.32897	8.95424	53.076
38	0.113693	0.531206	1.8237	6.20251	0.141289	0.976951	6.27231	7.50354	0.166088	0.967536	3.51546	11.7863	0.368072	2.43639	8.7804	54.5557
39	0.162707	0.75022	2.24815	7.09674	0.189893	3.25793	14.5271	78.5948	0.2705	1.04745	2.97998	10.5788	0.445733	1.96908	7.11404	47.9221
40	0.261241	1.11176	3.51022	11.3588	0.540183	1.34022	9.82851	39.4576	0.603722	2.51476	6.45866	20.0794	0.335023	1.49334	5.69223	40.5887
41	0.11284	0.539016	2.00918	7.0444	0.232819	1.32422	11.0501	29.9623	0.284469	1.39781	4.45744	14.6011	0.431264	1.83241	6.87912	45.9265
42	0.111148	0.501693	1.4468	5.87946	0.130354	1.0719	2.85353	28.3157	0.268419	1.16209	3.47118	11.9339	0.204662	1.10107	4.74144	36.3584
43	0.24729	1.25077	3.908	12.0163	0.410092	3.08528	10.6203	81.0263	0.577408	2.54143	7.64365	22.2585	0.526874	3.18297	11.2031	62.0028
44	0.127154	0.637965	2.24158	7.87862	0.188328	2.72103	4.87186	37.3472	0.191403	1.032	3.3756	11.3944	0.678795	3.63022	13.8269	70.3262
45	0.212721	0.895154	1.93487	5.59603	0.1474	1.42058	3.79078	15.8293	0.414919	2.12297	5.97575	19.3465	0.320748	1.2459	4.91589	35.2265
46	0.112788	0.614182	2.59094	8.75751	0.343036	2.68042	3.40106	51.7166	0.251602	1.36869	4.48801	15.1408	0.237002	1.20942	5.18324	33.3422
47	0.140429	0.587882	1.90423	6.57836	0.335951	3.12453	12.5289	38.353	0.285288	1.17431	3.37423	12.1112	0.724557	4.65135	14.2981	75.1079
48	0.161031	0.662921	1.98335	6.55506	0.88597	4.4976	22.9104	141.09	0.331608	1.44641	4.27899	13.9645	1.59528	6.54164	20.9102	91.6615
49	0.10802	0.464483	1.48514	5.34377	0.309326	2.91229	17.4309	22.1933	0.221218	1.1574	3.7873	12.7268	0.376313	2.09127	8.14388	48.5001
50	0.121864	0.587443	2.20675	7.56427	0.330995	0.965338	7.89816	42.2485	0.27973	1.23801	3.96501	13.61	0.364767	1.46318	5.89089	42.9935
51	0.607087	2.73256	8.10155	24.1045	0.686945	2.87393	8.17491	39.5358	1.51159	5.87776	15.7281	47.5952	0.718314	3.76804	12.2281	69.1391
52	0.18958	0.862589	2.98673	9.00462	0.240865	2.76614	11.1643	28.7666	0.487027	1.90739	5.26413	16.9271	0.897284	3.87921	13.9923	77.8137
53	0.132424	0.626052	2.012	6.40635	0.238309	2.09827	6.74931	27.8486	0.258391	1.09951	3.61417	12.4234	0.336479	1.76857	6.3267	40.8999
54	0.295139	1.26391	3.81692	10.8988	0.339538	4.73915	17.8819	32.7468	0.642224	3.01602	9.29388	27.3418	0.836325	4.33249	14.826	84.0006
55	0.151962	0.662571	2.09435	6.51004	0.220108	2.1429	7.13463	31.316	0.350077	1.34645	4.1335	12.6149	0.315968	1.14834	4.63787	42.1094
56	0.191976	0.775549	2.56197	8.36006	0.21425	1.76004	3.62521	12.4648	0.40205	2.26471	6.89469	20.5648	0.508651	1.93759	6.51269	40.8388
